ROI,session,calib_spread.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
ant_insula_L,ketamine,0.060008105085961515,0.0489113463559562,395.6080296307073,-0.07225698803261857,0.1922731982045416,1.226874939185844,0.22059924394034175
ant_insula_R,ketamine,0.10017585765069364,0.04891134635595619,395.6080296306959,-0.03208923546788642,0.2324409507692737,2.0481108191472774,0.09187596734101534
dACC,ketamine,0.1256424675195836,0.04891134635595617,395.6080296306959,-0.006622625598996401,0.2579075606381636,2.568779575299577,0.05466878107794304
dlPFC_R,ketamine,0.11876579941840776,0.04891134635595618,395.6080296306959,-0.013499293700172305,0.25103089253698785,2.4281850381725394,0.05466878107794304
s1_R,ketamine,0.08695587147164376,0.048911346355956196,395.6080296306959,-0.045309221646936335,0.21922096459022383,1.7778261681617904,0.09187596734101534
s2_L,ketamine,0.09356998845616522,0.04891134635595623,395.6080296306959,-0.03869510466241495,0.2258350815747454,1.9130528073220916,0.09187596734101534
s2_R,ketamine,0.08620803391476502,0.0489113463559562,395.6080296306959,-0.0460570592038151,0.21847312703334515,1.7625365142758331,0.09187596734101534
ant_insula_L,placebo,0.11292852449557823,0.07639699503996022,395.6080296307073,-0.09366271487457949,0.31951976386573594,1.4781801880624994,0.14015526149836863
ant_insula_R,placebo,0.18071278173721464,0.07639699503996021,395.6080296307073,-0.025878457632943053,0.38730402110737233,2.365443583778276,0.025886062968385935
dACC,placebo,0.18414020297671815,0.07639699503996013,395.6080296307186,-0.02245103639343929,0.3907314423468756,2.410306882887239,0.025886062968385935
dlPFC_R,placebo,0.20431067481618917,0.0763969950399602,395.6080296307186,-0.002280564553968467,0.4109019141863468,2.6743286788874676,0.025886062968385935
s1_R,placebo,0.15375810326330003,0.07639699503996021,395.6080296307073,-0.052833136106857664,0.36034934263345775,2.0126197788653246,0.05230376546248398
s2_L,placebo,0.19145842542616776,0.07639699503996034,395.6080296307073,-0.01513281394399027,0.39804966479632575,2.506098902529127,0.025886062968385935
s2_R,placebo,0.19602608000163368,0.07639699503996022,395.6080296306959,-0.01056515936852409,0.40261731937179146,2.5658873087756953,0.025886062968385935
