effect,term,estimate,std.error,statistic
fixed,(Intercept),0.5761487709147641,2.7749955056173947,0.20762151497127548
fixed,intensitypain,-5.734599577699559,4.501197251669135,-1.274016502070211
fixed,sessionplacebo,1.3090457551484846,4.135967787356612,0.31650288939632304
fixed,ROIant_insula_R,-1.2252772799401577,3.7667270695692228,-0.3252896366819285
fixed,ROIdACC,-3.2110137878926754,3.7667270695700417,-0.8524678662898719
fixed,ROIdlPFC_R,-2.3528679665894487,3.7667270695711106,-0.6246451954527601
fixed,ROIs1_R,-4.6144693155595355,3.766727069569396,-1.225060703983273
fixed,ROIs2_L,-3.01090194769914,3.7667270695726645,-0.7993416810102801
fixed,ROIs2_R,-5.3871493914222635,3.766727069569957,-1.4301937177617992
fixed,calib_temp,-0.02055774729814103,0.06641843185267389,-0.30951870926042363
fixed,intensitypain:sessionplacebo,-8.76810324286269,6.985558994705709,-1.255175605775852
fixed,intensitypain:ROIant_insula_R,2.656818326330746,6.283631125510323,0.42281576898181994
fixed,intensitypain:ROIdACC,-0.33144644426840414,6.283631125513916,-0.052747597312421214
fixed,intensitypain:ROIdlPFC_R,9.943510812074999,6.283631125514628,1.582446616208813
fixed,intensitypain:ROIs1_R,3.241511490046847,6.283631125514735,0.5158659738768979
fixed,intensitypain:ROIs2_L,1.163923059120133,6.283631125518161,0.18523096532407504
fixed,intensitypain:ROIs2_R,2.6225697040665734,6.283631125514536,0.41736531818643696
fixed,sessionplacebo:ROIant_insula_R,-1.0684125566398641,5.8178321167648575,-0.18364444610924593
fixed,sessionplacebo:ROIdACC,1.3732390729532293,5.817832116767213,0.23603965281079567
fixed,sessionplacebo:ROIdlPFC_R,-3.088014717132865,5.817832116767158,-0.5307844322687
fixed,sessionplacebo:ROIs1_R,-3.984723185550715,5.817832116766571,-0.6849154643130783
fixed,sessionplacebo:ROIs2_L,2.8816104911547447,5.817832116769468,0.49530657353427526
fixed,sessionplacebo:ROIs2_R,0.7529945763552788,5.817832116767216,0.12942872211542844
fixed,intensitypain:calib_temp,0.13705346732558532,0.1017670166939034,1.346737595126888
fixed,sessionplacebo:calib_temp,-0.027845504272337746,0.09944537009701869,-0.2800080511055641
fixed,ROIant_insula_R:calib_temp,0.030050811480580038,0.09021783272609855,0.3330917023003017
fixed,ROIdACC:calib_temp,0.0698461059205232,0.09021783272611805,0.7741940125358694
fixed,ROIdlPFC_R:calib_temp,0.0580345980742494,0.09021783272614373,0.6432719155470454
fixed,ROIs1_R:calib_temp,0.1020500802348138,0.09021783272610265,1.131151981278838
fixed,ROIs2_L:calib_temp,0.0719636012074467,0.09021783272618102,0.7976649297912365
fixed,ROIs2_R:calib_temp,0.13183906453437502,0.09021783272611622,1.4613415169771675
fixed,intensitypain:sessionplacebo:ROIant_insula_R,-0.11035197772284938,9.810646866366563,-0.011248185693153888
fixed,intensitypain:sessionplacebo:ROIdACC,0.7448016507838205,9.810646866376985,0.07591769033461007
fixed,intensitypain:sessionplacebo:ROIdlPFC_R,-0.5574944341559056,9.810646866374281,-0.05682545113989397
fixed,intensitypain:sessionplacebo:ROIs1_R,3.248404021956289,9.810646866377391,0.33111007522746266
fixed,intensitypain:sessionplacebo:ROIs2_L,3.9838410043895762,9.810646866377862,0.40607322418694186
fixed,intensitypain:sessionplacebo:ROIs2_R,1.695626156012425,9.81064686637759,0.17283530628582347
fixed,intensitypain:sessionplacebo:calib_temp,0.20005929838595143,0.1578160305872704,1.2676741243679996
fixed,intensitypain:ROIant_insula_R:calib_temp,-0.06077494129347064,0.14210788413670292,-0.42766762493632815
fixed,intensitypain:ROIdACC:calib_temp,0.00144082426131391,0.1421078841367857,0.010138946688749845
fixed,intensitypain:ROIdlPFC_R:calib_temp,-0.22530980526097305,0.142107884136803,-1.5854842018763298
fixed,intensitypain:ROIs1_R:calib_temp,-0.08679978937192913,0.14210788413680037,-0.6108020670293788
fixed,intensitypain:ROIs2_L:calib_temp,-0.034706608632119586,0.14210788413688336,-0.24422718586597875
fixed,intensitypain:ROIs2_R:calib_temp,-0.07122455385370058,0.14210788413679892,-0.5012005793087235
fixed,sessionplacebo:ROIant_insula_R:calib_temp,0.025992446090946104,0.1398773523032045,0.18582312049061164
fixed,sessionplacebo:ROIdACC:calib_temp,-0.03286300293716054,0.13987735230326095,-0.2349415569856651
fixed,sessionplacebo:ROIdlPFC_R:calib_temp,0.07406288364005421,0.13987735230325954,0.5294844549207867
fixed,sessionplacebo:ROIs1_R:calib_temp,0.09687122994002138,0.13987735230324558,0.6925440633878347
fixed,sessionplacebo:ROIs2_L:calib_temp,-0.07112407487256497,0.13987735230331483,-0.5084745578993882
fixed,sessionplacebo:ROIs2_R:calib_temp,-0.020012907651083107,0.13987735230326115,-0.14307468165178103
fixed,intensitypain:sessionplacebo:ROIant_insula_R:calib_temp,0.0012248506890330919,0.22167898443979078,0.005525335169359584
fixed,intensitypain:sessionplacebo:ROIdACC:calib_temp,-0.012218442534176808,0.22167898444002743,-0.05511773055547518
fixed,intensitypain:sessionplacebo:ROIdlPFC_R:calib_temp,0.006440699080538113,0.221678984439966,0.029054170817362036
fixed,intensitypain:sessionplacebo:ROIs1_R:calib_temp,-0.07631755946283315,0.22167898444003215,-0.3442706111976001
fixed,intensitypain:sessionplacebo:ROIs2_L:calib_temp,-0.07858905389297799,0.221678984440049,-0.35451738508948133
fixed,intensitypain:sessionplacebo:ROIs2_R:calib_temp,-0.03329435550859828,0.22167898444004153,-0.1501917540478608
